,TP_FAIXA_ETARIA,TP_COR_RACA,TP_ENSINO,SG_UF_ESC,TP_PRESENCA_MT,NU_NOTA_MT
0,13,3,,,0,
1,8,1,1.0,,0,
2,13,3,1.0,,0,
3,10,1,,,1,392.0
4,7,1,1.0,,1,677.0
5,13,2,,,1,675.3
6,7,3,1.0,,1,594.7
7,5,3,,,0,
8,5,1,1.0,,0,
9,2,1,1.0,,1,480.7
10,6,1,1.0,,0,
11,4,4,1.0,,1,459.0
12,8,1,1.0,,1,484.7
13,6,1,1.0,,1,399.0
14,11,2,2.0,MG,0,
15,4,2,1.0,,0,
16,4,3,,,1,461.5
17,6,3,1.0,,0,
18,4,3,1.0,,1,375.1
19,11,3,,,1,437.3
20,11,1,1.0,,0,
21,10,1,,,1,673.3
22,6,3,1.0,,1,524.2
23,6,3,1.0,,0,
24,11,3,1.0,,0,
25,11,3,,,1,397.5
26,2,1,1.0,PR,1,713.7
27,4,3,1.0,,1,547.2
28,3,1,1.0,RS,1,394.1
29,7,1,1.0,,0,
30,11,2,1.0,,0,
31,2,2,1.0,SP,1,442.0
32,7,1,1.0,,1,695.1
33,12,3,1.0,,0,
34,2,2,1.0,BA,1,704.5
35,14,1,,,1,565.9
36,2,1,1.0,SP,0,
37,13,3,1.0,,0,
38,8,4,1.0,,1,462.4
39,7,2,,,1,432.1
40,7,2,1.0,,1,516.3
41,15,1,1.0,,0,
42,10,2,,,0,
43,7,1,,,1,509.8
44,4,1,1.0,,0,
45,4,3,,,1,527.4
46,2,1,1.0,,1,723.4
47,15,1,1.0,,1,493.2
48,10,1,1.0,,0,
49,20,3,,,0,
50,8,2,1.0,,0,
51,6,3,1.0,,1,599.7
52,1,3,,,0,
53,3,3,1.0,PB,1,379.1
54,6,3,,,0,
55,2,3,1.0,AM,1,370.0
56,2,3,1.0,DF,1,529.7
57,6,3,1.0,,0,
58,12,3,2.0,,1,490.9
59,14,3,,,1,479.9
60,4,1,1.0,,0,
61,8,3,,,1,397.8
62,10,3,1.0,,1,372.7
63,4,1,1.0,,1,533.6
64,6,2,1.0,,1,377.9
65,12,3,1.0,,0,
66,12,3,1.0,,0,
67,5,3,1.0,,1,729.8
68,15,3,1.0,,1,447.4
69,9,1,1.0,,1,444.8
70,4,3,1.0,,1,584.9
71,7,3,1.0,,1,622.5
72,5,3,1.0,,1,465.5
73,11,3,,CE,0,
74,4,1,1.0,,1,568.8
75,10,1,1.0,,0,
76,5,1,1.0,,0,
77,7,2,1.0,,1,406.5
78,10,2,1.0,,1,469.4
79,6,3,1.0,,1,599.2
80,13,1,1.0,,1,429.0
81,8,3,,,0,
82,9,3,1.0,,1,430.1
83,2,1,1.0,PI,1,699.3
84,12,0,1.0,,0,
85,13,1,1.0,,1,666.3
86,7,1,,,0,
87,11,3,,,0,
88,7,1,1.0,,0,
89,12,3,1.0,,1,389.7
90,8,3,,,0,
91,2,2,1.0,MG,0,
92,16,1,1.0,,1,422.7
93,4,1,1.0,,1,624.2
94,8,3,,,0,
95,11,3,1.0,,1,434.3
96,2,2,1.0,PA,1,605.2
97,4,2,1.0,,1,412.3
98,13,3,1.0,,1,528.0
99,6,3,1.0,,0,
100,4,3,1.0,BA,1,392.5
101,5,3,1.0,,1,404.7
102,3,1,1.0,,1,529.5
103,9,3,1.0,,1,417.0
104,8,3,1.0,,1,513.5
105,2,3,1.0,PI,1,578.5
106,6,3,1.0,,1,406.4
107,3,1,1.0,SP,1,661.4
108,10,3,1.0,,0,
109,11,1,1.0,,0,
110,3,3,1.0,PR,1,679.4
111,4,1,1.0,,1,486.8
112,11,1,,,0,
113,12,3,1.0,,0,
114,5,3,1.0,,1,590.1
115,6,3,1.0,,0,
116,2,1,1.0,SP,1,503.9
117,11,3,1.0,,1,723.6
118,9,1,1.0,,1,432.5
119,10,2,1.0,,0,
120,10,3,,,1,449.5
121,8,1,1.0,,0,
122,2,3,1.0,,1,392.4
123,4,4,1.0,,1,451.6
124,11,2,1.0,,0,
125,9,1,,,1,366.1
126,9,2,1.0,,0,
127,13,3,1.0,,1,441.7
128,2,1,1.0,MG,1,698.7
129,4,1,1.0,,1,455.8
130,3,3,1.0,,1,469.2
131,13,3,1.0,,1,486.5
132,5,5,1.0,,1,408.9
133,3,3,1.0,CE,1,394.4
134,7,3,1.0,,1,607.2
135,11,3,,,1,609.8
136,4,5,1.0,,1,413.7
137,10,3,,,1,482.0
138,12,3,1.0,,1,388.8
139,3,2,1.0,,1,549.0
140,9,3,1.0,,1,506.1
141,11,3,1.0,,1,587.1
142,12,3,1.0,,1,648.1
143,4,1,,RS,0,
144,3,3,1.0,RJ,1,451.9
145,2,1,1.0,SP,1,687.0
146,3,0,1.0,PB,1,444.6
147,5,3,1.0,,1,668.1
148,11,3,1.0,,0,
149,4,1,1.0,,1,556.3
150,10,2,,,1,570.4
151,12,1,1.0,,1,491.6
152,9,2,1.0,,1,492.2
153,4,2,,MG,1,449.0
154,3,3,1.0,RN,1,395.8
155,3,0,1.0,MG,1,720.5
156,11,3,1.0,,1,436.1
157,10,3,1.0,,1,570.9
158,5,3,1.0,,1,533.6
159,4,3,1.0,,1,363.6
160,2,1,1.0,,1,567.8
161,13,3,1.0,,0,
162,12,0,,,1,374.3
163,11,2,1.0,,0,
164,17,1,,,1,529.4
165,6,2,1.0,,1,457.8
166,9,1,1.0,,0,
167,9,1,,,1,555.3
168,13,0,1.0,,1,469.6
169,8,2,,,0,
170,2,3,1.0,MS,1,543.5
171,7,1,,,0,
172,11,1,1.0,,0,
173,6,1,1.0,,0,
174,12,1,,,1,366.8
175,13,1,,,0,
176,3,3,1.0,MT,1,634.4
177,14,1,1.0,,1,545.4
178,7,1,1.0,,0,
179,2,3,1.0,,1,497.5
180,11,1,1.0,,1,398.5
181,7,3,1.0,,0,
182,11,3,1.0,,0,
183,14,2,,,0,
184,11,1,,,0,
185,6,3,1.0,,1,797.8
186,4,3,1.0,,1,369.8
187,10,2,1.0,,1,540.7
188,13,2,,,0,
189,4,1,1.0,,1,568.5
190,11,2,1.0,,1,448.8
191,12,2,1.0,,1,426.8
192,2,1,1.0,TO,1,432.2
193,6,1,1.0,,1,586.7
194,1,3,,,1,497.3
195,7,1,1.0,,0,
196,2,2,,,1,585.3
197,11,2,1.0,,0,
198,15,1,,,1,379.4
199,4,3,1.0,PR,0,
200,5,1,1.0,,1,746.2
201,8,3,,,1,442.0
202,2,3,1.0,SP,1,608.2
203,11,2,1.0,,0,
204,3,1,1.0,,1,370.7
205,7,3,,,0,
206,11,3,1.0,,0,
207,13,2,,,1,540.0
208,2,1,1.0,PR,1,542.7
209,12,2,1.0,AL,1,426.1
210,2,3,1.0,TO,1,480.6
211,7,0,1.0,,0,
212,10,1,1.0,,0,
213,6,1,1.0,,1,487.4
214,10,2,1.0,,0,
215,3,3,1.0,TO,1,383.5
216,6,1,,,1,437.2
217,3,3,1.0,RS,1,423.9
218,4,3,1.0,,1,405.2
219,5,3,,,1,494.3
220,11,3,1.0,,1,389.0
221,11,1,1.0,,1,610.2
222,3,3,1.0,,1,394.4
223,5,1,1.0,,1,448.2
224,12,3,1.0,,1,652.6
225,2,1,1.0,SP,1,701.2
226,5,3,1.0,,0,
227,5,3,1.0,,1,495.0
228,2,1,1.0,SP,1,429.6
229,4,1,1.0,,1,603.6
230,11,3,1.0,,1,664.3
231,10,3,1.0,,1,390.0
232,3,3,1.0,,1,465.9
233,13,3,1.0,,1,500.9
234,4,3,1.0,,0,
235,8,3,1.0,,1,609.3
236,9,3,1.0,,0,
237,8,3,,,1,592.4
238,6,2,1.0,,1,415.7
239,7,3,1.0,,1,442.6
240,7,3,1.0,,0,
241,4,1,1.0,,1,571.4
242,12,3,,,0,
243,3,3,1.0,,1,601.9
244,3,1,1.0,SP,1,682.2
245,2,3,1.0,SP,1,733.2
246,4,3,1.0,,1,479.2
247,9,1,1.0,,1,693.0
248,3,3,1.0,,1,375.5
249,3,1,1.0,PR,1,441.8
250,4,3,1.0,,1,592.1
251,3,0,1.0,RJ,1,465.5
252,3,1,1.0,AL,1,444.3
253,11,3,1.0,,1,535.9
254,2,3,,,1,405.1
255,14,3,,,1,500.7
256,4,3,1.0,,0,
257,16,3,1.0,,0,
258,2,1,1.0,SP,1,497.2
259,13,0,1.0,,0,
260,5,3,1.0,,1,374.2
261,9,1,,,1,489.9
262,3,3,,,0,
263,4,2,1.0,,1,663.0
264,6,1,,RS,1,461.7
265,2,1,1.0,GO,1,648.6
266,6,1,1.0,,1,665.6
267,3,3,1.0,,1,578.9
268,8,1,1.0,,0,
269,14,1,1.0,,1,389.6
270,4,3,1.0,,1,393.3
271,4,1,1.0,,1,545.5
272,2,3,,,0,
273,13,1,1.0,,1,627.7
274,11,3,1.0,,1,505.3
275,5,3,1.0,,1,436.2
276,11,1,1.0,,0,
277,5,2,1.0,,1,409.3
278,2,1,1.0,RS,1,590.4
279,2,3,1.0,,1,398.8
280,3,3,1.0,BA,1,425.2
281,12,4,1.0,,0,
282,4,2,1.0,,1,626.5
283,14,1,1.0,,1,411.8
284,6,2,1.0,,1,453.3
285,9,3,1.0,,1,419.2
286,7,3,1.0,,1,511.7
287,11,3,,,0,
288,11,1,1.0,,0,
289,2,3,1.0,AP,1,464.3
290,2,3,1.0,PR,1,452.8
291,5,3,1.0,,1,497.3
292,8,3,1.0,,0,
293,11,3,,,0,
294,3,0,1.0,PE,1,509.0
295,7,2,1.0,,1,491.1
296,5,3,,PB,0,
297,5,3,1.0,,0,
298,13,3,1.0,,1,440.3
299,11,3,,,1,495.9
300,5,2,1.0,,1,462.8
301,12,3,1.0,,1,535.6
302,12,3,1.0,,1,392.2
303,4,4,1.0,,1,451.6
304,14,3,1.0,,1,410.3
305,11,3,,,0,
306,10,3,1.0,,1,584.1
307,2,1,1.0,SP,1,573.2
308,2,1,,,1,714.0
309,7,1,1.0,,1,481.5
310,9,1,1.0,,0,
311,14,3,2.0,,0,
312,11,3,1.0,,0,
313,12,2,,,0,
314,5,3,,,1,533.5
315,1,4,1.0,,1,602.2
316,4,2,1.0,,0,
317,2,3,1.0,CE,1,396.6
318,14,3,1.0,,0,
319,14,3,,,1,584.4
320,4,3,1.0,,1,454.1
321,6,3,1.0,,0,
322,3,2,1.0,,0,
323,5,1,1.0,RJ,1,596.3
324,12,3,1.0,,0,
325,6,1,1.0,,1,478.9
326,11,1,1.0,,1,570.3
327,4,3,1.0,,0,
328,13,3,1.0,,1,431.9
329,2,1,1.0,SP,1,773.7
330,5,3,1.0,,1,507.7
331,11,2,1.0,,0,
332,11,3,1.0,,1,644.5
333,8,4,1.0,,0,
334,15,3,1.0,,1,509.5
335,2,2,1.0,SP,0,
336,3,1,1.0,SC,1,455.7
337,3,3,1.0,,1,627.4
338,6,4,1.0,,0,
339,4,3,1.0,,1,469.3
340,11,2,,,1,605.7
341,5,3,1.0,,0,
342,14,4,1.0,,1,512.4
343,9,3,,,0,
344,5,1,1.0,,1,465.1
345,11,3,1.0,,1,623.1
346,11,3,1.0,,0,
347,11,1,,,1,480.1
348,3,3,1.0,CE,2,
349,12,1,,,1,360.4
350,12,3,1.0,,1,586.0
351,2,3,1.0,PI,1,504.7
352,8,1,1.0,,1,692.0
353,8,2,1.0,,1,447.4
354,12,2,1.0,,1,391.5
355,1,2,,,1,504.6
356,3,3,,,1,554.3
357,9,3,1.0,,1,519.2
358,11,3,1.0,,0,
359,12,1,1.0,,0,
360,11,3,1.0,,1,488.6
361,3,3,,ES,0,
362,5,3,1.0,,1,625.4
363,5,1,1.0,,0,
364,6,3,1.0,,1,583.4
365,12,2,2.0,,1,533.1
366,15,1,,,1,570.0
367,4,3,,,1,535.4
368,13,2,,,0,
369,10,1,1.0,,0,
370,14,2,1.0,,1,554.9
371,11,1,1.0,,0,
372,12,3,,,0,
373,2,3,1.0,PB,1,415.2
374,9,3,,,1,523.9
375,3,1,1.0,MG,1,648.2
376,3,3,1.0,,1,588.4
377,3,3,1.0,MG,1,508.4
378,4,1,1.0,,0,
379,11,1,1.0,,0,
380,5,2,1.0,,1,395.7
381,4,3,1.0,,1,389.8
382,12,3,,,1,388.1
383,6,1,1.0,,1,461.4
384,5,3,1.0,,0,
385,13,3,1.0,,0,
386,5,3,1.0,,0,
387,11,1,,,0,
388,11,2,,,0,
389,2,3,1.0,AM,1,572.0
390,10,3,1.0,,1,573.0
391,5,3,1.0,,1,441.2
392,12,3,2.0,,0,
393,13,2,1.0,,0,
394,2,1,,,1,568.2
395,5,2,1.0,,1,436.2
396,12,2,1.0,,1,667.4
397,4,2,1.0,BA,1,386.4
398,3,3,1.0,,0,
399,6,1,1.0,,1,456.5
400,5,3,1.0,,1,514.0
401,13,3,1.0,,0,
402,9,2,1.0,,1,377.0
403,4,3,1.0,,1,442.2
404,4,2,1.0,,0,
405,5,2,1.0,,0,
406,11,3,1.0,,0,
407,4,1,1.0,RS,1,606.8
408,5,3,1.0,,0,
409,11,3,,,0,
410,7,2,1.0,,1,476.0
411,14,1,,,1,524.6
412,8,3,1.0,,1,581.3
413,4,2,1.0,,1,362.0
414,3,1,1.0,,1,678.6
415,6,1,1.0,,1,412.1
416,10,0,1.0,,0,
417,2,3,1.0,GO,1,509.0
418,6,3,1.0,,1,580.8
419,13,1,1.0,,0,
420,6,1,1.0,,1,804.5
421,11,2,1.0,,1,426.1
422,7,3,1.0,,1,646.4
423,7,3,1.0,RJ,1,445.1
424,7,2,,,1,460.8
425,12,4,,,1,410.8
426,2,2,1.0,GO,1,536.8
427,14,1,1.0,,0,
428,8,1,,RS,0,
429,3,3,1.0,,1,560.3
430,14,3,1.0,,1,709.9
431,11,3,,,1,625.2
432,12,3,,,1,445.9
433,3,5,1.0,,1,594.9
434,4,3,1.0,,1,747.6
435,11,1,1.0,,0,
436,11,1,1.0,,0,
437,10,1,,,1,398.4
438,6,1,1.0,,0,
439,2,3,1.0,,1,591.9
440,7,1,1.0,,0,
441,12,3,,,0,
442,10,3,1.0,,1,619.6
443,4,3,,,1,494.9
444,11,3,1.0,,1,636.7
445,5,3,1.0,,1,532.4
446,12,1,1.0,,0,
447,11,2,1.0,,1,424.7
448,2,3,1.0,MA,1,690.8
449,6,3,1.0,,0,
450,5,3,1.0,,1,509.9
451,11,3,,,1,405.6
452,7,2,1.0,,1,491.9
453,6,1,1.0,,1,632.2
454,11,2,1.0,,1,771.5
455,7,3,,,1,551.3
456,5,3,1.0,,0,
457,6,3,1.0,,1,406.8
458,5,2,1.0,,1,697.1
459,5,3,1.0,,1,442.6
460,10,3,,,1,426.9
461,9,3,1.0,,1,688.7
462,4,2,1.0,,1,499.7
463,10,3,1.0,,1,561.4
464,11,1,1.0,,0,
465,4,1,1.0,,1,813.0
466,10,2,1.0,,0,
467,3,3,1.0,,1,453.8
468,5,4,1.0,,1,365.0
469,4,3,1.0,,1,597.0
470,2,1,,,1,418.6
471,7,1,1.0,,1,599.2
472,3,1,1.0,,1,542.0
473,11,3,1.0,,1,446.9
474,12,2,1.0,,1,452.0
475,9,1,1.0,,0,
476,10,3,,,0,
477,2,1,1.0,SP,1,573.8
478,8,3,1.0,,1,401.4
479,7,3,1.0,,0,
480,3,1,1.0,,1,442.4
481,11,3,1.0,,1,425.6
482,9,3,1.0,,1,882.0
483,3,2,1.0,,0,
484,5,3,1.0,,1,677.1
485,11,3,2.0,,1,434.4
486,12,2,1.0,,1,515.8
487,2,1,1.0,RJ,1,675.1
488,3,2,1.0,PR,1,582.7
489,10,0,1.0,,1,622.0
490,12,3,1.0,,1,384.0
491,5,3,1.0,,1,394.5
492,7,3,1.0,,1,540.5
493,2,1,1.0,CE,1,437.3
494,6,1,1.0,,1,575.6
495,2,1,1.0,SP,1,632.7
496,6,2,1.0,,1,618.2
497,10,3,1.0,,0,
498,3,1,1.0,RS,1,649.4
499,12,1,1.0,,0,
500,6,3,1.0,,1,537.8
501,11,3,1.0,,0,
502,2,1,1.0,,1,478.0
503,5,3,1.0,,0,
504,5,1,1.0,,0,
505,8,1,1.0,,1,549.3
506,11,2,1.0,,0,
507,2,3,1.0,SP,1,393.5
508,10,3,1.0,,1,390.9
509,13,1,1.0,,1,429.1
510,8,1,1.0,,1,774.1
511,2,1,1.0,RS,1,635.1
512,7,3,1.0,,0,
513,9,3,,,0,
514,14,3,1.0,,0,
515,3,1,1.0,RJ,1,592.1
516,16,3,1.0,,1,406.4
517,6,1,1.0,,0,
518,5,3,1.0,,1,423.3
519,8,3,1.0,,1,581.0
520,5,1,1.0,,0,
521,3,2,1.0,,1,475.2
522,11,1,,,1,650.7
523,8,3,1.0,,1,674.8
524,9,1,1.0,,0,
525,8,1,1.0,,0,
526,5,2,1.0,,0,
527,11,3,1.0,,1,411.0
528,11,1,,,0,
529,11,1,1.0,,0,
530,2,3,1.0,MG,1,480.3
531,5,3,,,1,516.5
532,5,3,1.0,,1,471.0
533,11,2,1.0,,0,
534,15,2,1.0,,1,395.0
535,5,3,1.0,,1,516.1
536,12,3,1.0,,1,498.4
537,11,3,1.0,,0,
538,4,1,,,1,505.2
539,10,3,1.0,,1,405.4
540,4,1,1.0,,0,
541,3,3,1.0,,1,656.3
542,4,2,,,1,459.1
543,11,1,1.0,,0,
544,5,3,1.0,,1,419.2
545,3,3,1.0,,1,473.0
546,13,3,,,1,375.9
547,7,1,,,1,464.8
548,2,1,1.0,SP,1,449.4
549,3,3,1.0,MG,1,518.0
550,12,1,1.0,,0,
551,7,3,1.0,,0,
552,3,3,1.0,RS,0,
553,2,5,,SP,1,583.6
554,9,3,1.0,,1,445.7
555,2,1,1.0,MG,1,805.1
556,11,4,1.0,BA,0,
557,11,2,1.0,,0,
558,11,1,,,1,414.6
559,7,2,1.0,,1,505.5
560,5,2,1.0,,0,
561,6,1,,BA,0,
562,3,1,1.0,SP,1,511.3
563,3,3,1.0,,1,366.2
564,13,3,,,1,493.7
565,6,3,1.0,,1,476.4
566,12,2,1.0,,1,425.6
567,4,3,,,1,440.9
568,4,1,,,2,
569,4,1,1.0,,1,393.2
570,5,1,1.0,,0,
571,3,1,,,1,664.8
572,14,3,,,0,
573,6,1,1.0,,0,
574,5,1,1.0,,1,643.7
575,3,3,1.0,,1,476.9
576,12,4,,,0,
577,7,2,1.0,,1,564.5
578,5,3,1.0,,1,532.6
579,2,2,1.0,BA,1,441.9
580,7,3,1.0,,1,573.8
581,12,3,1.0,,1,666.0
582,2,1,1.0,SP,1,611.6
583,6,1,1.0,,1,421.8
584,11,3,1.0,,1,486.2
585,11,1,,,0,
586,4,3,1.0,,0,
587,3,1,1.0,,1,705.2
588,11,1,1.0,,0,
589,5,3,1.0,,0,
590,3,3,1.0,MA,1,537.5
591,13,1,1.0,,0,
592,2,1,1.0,SC,1,502.0
593,9,2,1.0,,0,
594,3,1,1.0,SP,1,568.6
595,4,1,,,0,
596,13,1,1.0,,1,576.7
597,9,3,,,1,429.2
598,3,1,1.0,SP,1,405.6
599,4,3,1.0,,0,
600,11,3,,,0,
601,5,1,1.0,MG,1,578.8
602,13,2,,,0,
603,11,3,,,1,408.7
604,3,1,1.0,,1,473.1
605,7,3,,PI,0,
606,4,3,1.0,,1,578.1
607,9,3,,,0,
608,3,3,1.0,,0,
609,13,3,1.0,,1,460.4
610,4,1,,,1,497.3
611,13,3,,,1,665.6
612,3,1,1.0,ES,1,379.2
613,12,3,1.0,,1,470.7
614,6,3,1.0,,1,647.3
615,11,3,1.0,,1,474.7
616,5,3,,,1,366.5
617,11,3,1.0,,1,438.3
618,9,1,,,1,399.9
619,11,3,1.0,,1,458.6
620,11,4,1.0,,0,
621,6,3,1.0,,1,600.5
622,6,3,2.0,,1,753.9
623,8,3,1.0,,0,
624,11,2,1.0,,1,502.0
625,4,3,1.0,RO,1,534.8
626,3,1,1.0,RJ,1,634.0
627,2,2,1.0,SP,1,680.6
628,4,3,1.0,,1,518.7
629,4,1,1.0,,1,753.0
630,9,1,1.0,,1,637.2
631,5,3,1.0,,1,608.4
632,2,3,1.0,MG,1,615.3
633,11,3,,,0,
634,5,3,1.0,,1,624.8
635,9,3,1.0,,0,
636,3,1,1.0,,1,372.2
637,7,1,,,1,498.6
638,3,3,1.0,,1,535.2
639,11,3,1.0,,0,
640,12,3,1.0,,1,506.9
641,4,2,1.0,,1,428.9
642,6,1,,AC,1,453.3
643,13,3,1.0,,1,692.6
644,3,1,1.0,SP,1,458.7
645,5,3,1.0,,1,776.1
646,7,3,1.0,,1,457.0
647,3,3,1.0,,0,
648,12,2,1.0,,0,
649,14,1,1.0,,0,
650,6,3,1.0,,0,
651,4,1,1.0,,1,499.7
652,9,3,1.0,,1,483.5
653,3,2,1.0,MA,1,495.5
654,3,2,1.0,RN,1,437.6
655,8,3,1.0,,1,394.1
656,3,3,1.0,RS,1,464.9
657,5,2,1.0,,1,513.8
658,2,3,1.0,MA,1,411.3
659,11,3,1.0,,0,
660,10,3,1.0,,0,
661,11,3,1.0,,0,
662,11,2,1.0,,1,392.6
663,7,5,1.0,,1,418.1
664,2,2,1.0,BA,1,450.5
665,3,4,1.0,RJ,1,556.9
666,7,3,1.0,,1,583.0
667,5,1,1.0,,0,
668,10,3,1.0,,0,
669,6,3,,,0,
670,11,3,1.0,,1,541.5
671,18,1,,,1,560.3
672,3,3,1.0,,1,677.5
673,5,3,,,0,
674,4,1,1.0,,0,
675,12,1,1.0,,1,524.3
676,3,1,,,0,
677,5,1,,,1,436.4
678,1,3,,,1,432.0
679,6,3,1.0,,1,410.1
680,4,3,1.0,,1,692.3
681,2,1,1.0,SP,1,442.0
682,13,3,,,0,
683,5,2,1.0,,1,569.0
684,12,3,1.0,,0,
685,11,3,,,0,
686,3,3,1.0,SP,1,595.2
687,11,3,1.0,,0,
688,8,1,1.0,,0,
689,12,1,1.0,,1,409.3
690,13,1,1.0,,0,
691,12,3,1.0,,0,
692,2,1,1.0,DF,1,364.0
693,14,3,1.0,,1,689.2
694,9,1,1.0,,1,631.1
695,11,3,,,0,
696,10,3,1.0,,1,459.6
697,3,1,1.0,,1,493.4
698,10,3,,,0,
699,5,3,,,1,435.0
700,8,2,1.0,,1,419.4
701,14,4,,CE,0,
702,8,3,1.0,,0,
703,13,1,,,0,
704,8,3,1.0,,1,668.9
705,4,3,1.0,,1,452.0
706,9,2,1.0,,1,448.1
707,7,1,,,1,608.4
708,13,2,1.0,,0,
709,11,2,1.0,,0,
710,12,3,1.0,,0,
711,6,3,,,1,450.5
712,10,1,1.0,,1,415.8
713,4,3,1.0,,0,
714,6,2,1.0,,1,400.8
715,3,2,1.0,,0,
716,8,3,,,1,418.4
717,10,3,1.0,,0,
718,12,2,1.0,,1,502.3
719,10,1,1.0,,1,514.1
720,7,1,,,1,521.2
721,3,3,,,0,
722,7,3,1.0,,1,375.5
723,2,3,1.0,DF,0,
724,2,1,1.0,MG,1,612.0
725,8,1,1.0,,0,
726,10,1,1.0,,1,805.5
727,6,3,1.0,,1,394.1
728,4,1,1.0,,0,
729,4,3,,,1,417.3
730,12,3,1.0,,1,544.3
731,12,1,1.0,,1,617.3
732,4,1,1.0,,1,416.8
733,4,2,1.0,RS,1,716.4
734,4,1,1.0,,1,536.3
735,3,2,1.0,PE,1,431.6
736,7,3,1.0,,1,651.0
737,3,1,1.0,,1,417.8
738,6,3,,,1,478.9
739,3,3,1.0,MT,1,747.6
740,11,3,1.0,,0,
741,11,2,,,1,391.6
742,5,1,1.0,,1,598.9
743,10,1,1.0,,1,407.5
744,9,3,1.0,,1,564.8
745,13,3,1.0,,1,363.3
746,4,2,1.0,RN,1,757.3
747,3,5,1.0,RJ,1,513.0
748,12,3,1.0,,1,557.8
749,3,1,1.0,,1,685.1
750,9,3,1.0,,0,
751,8,3,1.0,,1,494.2
752,9,1,,,1,414.3
753,5,1,1.0,,1,645.4
754,10,3,,MG,0,
755,4,1,,,1,408.5
756,11,3,1.0,,0,
757,5,3,1.0,,1,628.2
758,9,3,1.0,,1,542.9
759,3,3,1.0,SP,1,762.5
760,2,2,,,1,578.8
761,5,3,1.0,,0,
762,11,3,1.0,,0,
763,5,3,1.0,,0,
764,12,3,1.0,,0,
765,5,1,1.0,,1,439.1
766,7,2,1.0,,0,
767,13,3,,,0,
768,6,2,1.0,,1,496.8
769,3,3,1.0,,0,
770,3,2,1.0,SP,1,500.9
771,3,3,1.0,BA,1,469.5
772,13,3,,,0,
773,2,1,,,0,
774,10,1,,,0,
775,3,4,1.0,,1,576.6
776,7,2,1.0,,1,548.2
777,4,3,1.0,,1,459.7
778,3,1,1.0,RJ,1,521.9
779,3,2,1.0,,1,707.9
780,4,1,1.0,,0,
781,11,3,1.0,,1,489.9
782,10,2,1.0,,1,680.9
783,3,3,1.0,MG,1,632.2
784,5,1,1.0,,1,626.6
785,8,1,,,1,423.2
786,2,3,1.0,CE,1,477.4
787,2,1,1.0,SP,1,708.5
788,15,4,1.0,,0,
789,7,3,1.0,,1,601.7
790,4,1,,,1,513.5
791,11,3,,RO,0,
792,5,3,1.0,,1,373.6
793,3,2,1.0,SP,1,396.8
794,3,3,1.0,,1,521.9
795,12,3,1.0,,1,572.8
796,5,3,,,1,486.8
797,6,5,1.0,,1,550.7
798,2,1,1.0,SP,0,
799,9,2,,,0,
800,11,2,1.0,,1,383.1
801,4,3,1.0,,1,426.1
802,2,3,1.0,PE,1,360.7
803,2,1,1.0,SP,1,534.9
804,7,1,1.0,,1,579.1
805,5,1,1.0,,1,478.3
806,11,3,1.0,,1,563.9
807,4,1,1.0,,1,476.4
808,13,3,,,1,393.7
809,2,1,1.0,SP,1,564.7
810,5,3,1.0,,0,
811,9,2,,,0,
812,11,2,,,1,440.3
813,7,4,1.0,,0,
