,TP_FAIXA_ETARIA,TP_COR_RACA,TP_ENSINO,SG_UF_ESC,TP_PRESENCA_MT,NU_NOTA_MT
0,14,2,,,0,
1,14,1,,,0,
2,5,2,,,1,565.3
3,6,3,,,1,416.0
4,4,3,,,0,
5,5,3,,,0,
6,4,2,,,0,
7,6,2,,,1,404.9
8,8,3,,,0,
9,4,3,,,1,435.3
10,4,3,,,0,
11,2,1,1.0,,1,456.8
12,4,2,,,0,
13,6,3,,,0,
14,7,2,,,0,
15,8,3,1.0,SE,0,
16,5,2,,,0,
17,2,3,,,1,536.0
18,8,2,,,1,695.0
19,2,1,,,0,
20,1,3,,,1,462.7
21,5,3,,,0,
22,4,1,,,1,343.0
23,4,3,,,1,625.4
24,8,3,,,0,
25,5,3,,,1,383.1
26,2,3,1.0,,0,
27,7,2,,,1,573.4
28,6,3,,,0,
29,11,5,,,1,615.3
30,3,3,,,1,744.6
31,12,1,,,1,352.4
32,8,3,,,0,
33,10,1,,,1,536.3
34,14,3,,,0,
35,7,1,,,0,
36,7,3,,,1,446.4
37,12,3,,,1,474.7
38,11,3,,,1,408.5
39,3,1,,,1,568.4
40,5,3,1.0,CE,1,430.4
41,4,3,,,1,460.6
42,5,3,,,1,496.6
43,4,1,1.0,,1,441.4
44,5,1,,,0,
45,7,3,1.0,,1,526.6
46,4,3,,,1,488.0
47,4,1,,,1,542.5
48,7,3,,,1,593.2
49,3,2,1.0,,1,405.9
50,10,1,,,1,603.7
51,9,3,,,0,
52,9,2,,,1,572.6
53,6,3,,,1,483.0
54,4,3,,,1,414.4
55,3,1,1.0,SP,1,905.5
56,4,1,,,1,393.0
57,2,3,1.0,GO,1,551.9
58,5,3,,,1,500.4
59,3,3,2.0,PA,1,433.6
60,2,3,,,1,506.2
61,5,2,,RJ,0,
62,2,1,1.0,,0,
63,2,3,,,1,360.5
64,13,1,,,0,
65,3,3,,,0,
66,3,3,1.0,,1,477.1
67,3,1,1.0,RJ,1,438.0
68,2,3,1.0,DF,1,590.4
69,6,1,,,0,
70,5,1,,RJ,1,515.7
71,5,1,,,1,757.7
72,4,3,,,0,
73,13,1,,,1,487.4
74,3,2,,,0,
75,2,3,,,0,
76,12,2,,,0,
77,2,3,1.0,,1,656.1
78,3,1,,,0,
79,8,0,,,0,
80,3,1,,,1,412.1
81,11,2,,,0,
82,3,2,,RJ,0,
83,2,3,1.0,MT,1,506.0
84,5,2,,,1,469.0
85,16,1,,,0,
86,11,3,,RN,1,653.0
87,11,2,,,1,618.3
88,7,2,,,0,
89,12,2,,,1,489.5
