,TP_FAIXA_ETARIA,TP_COR_RACA,TP_ENSINO,SG_UF_ESC,TP_PRESENCA_MT,NU_NOTA_MT
0,11,2,,,0,
1,11,3,,,1,711.3
2,4,3,1.0,BA,0,
3,2,3,1.0,SP,1,759.4
4,4,3,,,0,
5,3,3,,,1,526.7
6,9,3,,,0,
7,4,1,,,1,753.2
8,5,3,,,1,448.5
9,2,2,1.0,,0,
10,6,1,,,0,
11,7,1,,,1,546.5
12,3,3,,,0,
13,11,2,,,0,
14,11,2,,,0,
15,5,3,,,0,
16,7,3,,,0,
17,4,1,,,0,
18,7,3,,,1,420.3
19,13,2,,,1,405.6
20,10,3,,,0,
21,5,1,,,0,
22,6,3,,,1,746.4
23,6,3,,,0,
24,5,2,,,1,542.8
25,10,2,1.0,BA,0,
26,10,2,,,1,561.6
27,12,3,,,1,596.5
28,11,3,,,0,
29,6,1,,,1,664.9
30,7,2,,,0,
31,11,2,,,0,
32,7,2,,,0,
33,12,2,,,0,
34,7,3,,,0,
35,2,1,,,0,
36,3,3,1.0,AM,1,433.9
37,5,3,,,1,441.8
38,4,3,,,0,
39,13,3,,,1,492.0
40,6,3,,,1,496.7
41,2,0,,,1,397.0
42,11,1,,,0,
43,3,3,,,1,582.1
44,11,3,,,1,533.9
45,12,3,,,0,
46,4,3,,,1,461.1
47,6,3,,,1,724.2
48,11,3,,,0,
49,3,1,,,1,455.2
50,6,3,,,0,
51,12,2,,,1,580.2
52,6,3,,,0,
53,13,3,,,1,525.2
54,11,3,,,1,397.3
55,6,3,,,0,
56,11,1,,,0,
57,3,1,1.0,,0,
58,5,1,,,1,636.6
59,5,1,,,1,504.5
60,4,2,,,1,672.1
61,2,3,1.0,,1,339.2
62,5,2,,,1,548.8
63,3,3,1.0,,1,536.4
64,3,2,,,1,480.8
65,3,3,1.0,PI,1,384.2
66,11,3,,,0,
67,6,2,,,0,
68,7,1,,,0,
69,2,3,,,0,
70,12,1,,,0,
71,11,3,,,0,
72,9,3,,,1,387.9
73,4,3,1.0,,0,
74,8,3,,,0,
75,4,2,,,1,636.7
76,3,1,,,1,757.8
77,12,3,,,1,339.8
78,5,3,,,1,627.8
79,8,3,,,1,501.6
80,9,3,,,1,423.9
81,3,3,1.0,,1,615.1
82,4,2,,,1,616.1
83,3,3,,,0,
84,2,3,1.0,MT,1,404.6
85,3,2,,,1,345.5
86,6,2,,,0,
87,10,3,,,1,914.7
88,3,2,1.0,,1,634.6
89,2,1,1.0,SP,1,669.8
90,6,3,,,1,434.7
91,8,1,,,1,504.3
92,3,3,,,1,359.4
93,4,2,1.0,RJ,1,743.0
94,7,3,,,0,
95,1,2,1.0,DF,0,
96,8,3,,,1,637.8
97,11,0,,,0,
98,2,3,1.0,,1,516.7
99,1,3,,,1,671.5
100,3,2,1.0,,1,491.1
101,7,3,,,0,
102,12,3,,,0,
103,7,0,,,1,415.9
104,3,3,1.0,,1,354.4
105,13,4,,,0,
106,1,3,,,1,443.9
107,2,3,1.0,,1,408.5
108,12,1,,,0,
109,3,1,,,1,624.6
110,3,1,,,1,591.1
111,5,3,,,0,
112,4,2,1.0,,1,493.9
113,5,3,,CE,0,
114,10,3,,,1,635.7
115,9,3,,,0,
116,4,2,1.0,PI,1,373.0
117,9,3,,,0,
118,4,3,,,1,438.2
119,3,3,1.0,MG,1,648.6
120,5,2,1.0,ES,1,370.9
121,7,3,,,1,477.8
122,7,2,,,0,
123,2,3,,,1,549.1
124,15,5,,,1,396.8
125,3,3,,,1,734.5
126,12,2,,,0,
127,5,1,,,0,
128,2,3,,,1,599.4
129,11,3,,,0,
130,2,3,1.0,RJ,1,538.6
131,5,2,,,1,416.9
132,5,3,,,1,392.0
133,13,3,,,0,
134,5,3,,,0,
135,5,1,,,0,
136,13,3,,,0,
137,7,3,,,1,411.8
138,16,3,,,0,
139,8,2,,,0,
140,6,3,,,0,
141,4,1,,,1,701.4
142,4,2,,,1,479.3
143,11,1,,,0,
144,4,1,,,1,664.0
145,5,3,,,0,
146,12,1,,,0,
147,3,2,1.0,,1,517.2
148,11,1,,,0,
149,4,2,,,0,
150,3,2,1.0,DF,1,473.5
151,3,3,1.0,,1,445.2
152,7,3,,,0,
153,4,3,,,0,
154,12,3,,,0,
155,14,3,,,0,
156,12,1,,,0,
157,12,2,,,0,
158,10,2,,,0,
159,4,3,,,1,484.6
160,13,3,,,1,568.6
161,3,1,,,1,555.1
162,4,2,,,1,641.6
163,11,3,,,0,
164,3,3,1.0,,1,636.3
165,4,1,,,0,
166,11,2,,,0,
167,5,2,,,0,
168,3,3,,,1,437.1
169,12,3,,,0,
170,6,3,,,1,481.8
171,4,3,,,1,539.1
172,13,1,,,0,
173,5,1,1.0,RS,0,
174,6,3,,,1,346.2
175,9,1,,,0,
176,4,3,,,1,539.6
177,13,3,,,1,431.8
178,4,2,,,1,546.3
179,2,3,1.0,,1,465.7
180,3,3,,,1,334.0
181,11,1,,,0,
182,3,3,1.0,AL,1,624.9
183,3,1,1.0,ES,1,688.1
184,11,1,,,0,
185,7,1,,,1,623.5
186,3,3,,,1,452.3
187,5,1,,,0,
188,4,1,,,1,622.1
189,11,3,,,0,
190,4,3,,,1,604.6
191,12,1,,,0,
192,11,2,,,0,
193,7,1,,,0,
194,5,1,,,1,442.9
195,4,3,,,0,
196,11,3,,,0,
197,3,1,1.0,SC,1,515.5
198,6,3,,,1,589.8
199,7,3,,,1,402.2
200,4,3,,,1,501.1
201,11,2,,,0,
202,5,3,,,1,570.8
203,1,1,1.0,,1,468.0
204,4,2,,,0,
205,8,3,,,1,594.1
206,5,2,,,1,585.5
207,3,2,1.0,CE,1,535.6
208,3,2,,,0,
209,2,2,1.0,,1,624.3
210,2,1,1.0,SC,0,
211,3,3,1.0,,1,509.8
212,6,3,,,0,
213,3,1,,,1,415.1
214,5,3,,,1,415.4
215,2,3,1.0,,1,577.6
216,2,1,1.0,PR,0,
217,13,3,,,0,
218,3,1,1.0,RN,1,646.4
219,7,2,,,0,
220,6,1,,,0,
221,6,2,,,0,
222,13,2,,,0,
223,2,3,1.0,,0,
224,5,2,,,0,
225,4,1,,,1,424.4
226,13,3,,,0,
227,2,1,1.0,MG,1,637.2
228,8,3,,,1,642.6
229,5,2,,,0,
230,6,1,,,0,
231,1,3,1.0,SE,1,685.9
232,7,3,,,1,438.3
233,7,1,,,0,
234,4,3,,,1,558.7
235,12,1,,,0,
236,9,1,,,1,355.2
237,4,4,,,1,454.2
238,9,1,,,0,
239,12,2,,,1,443.1
240,15,1,,,1,555.5
241,5,1,,,1,658.6
242,11,3,,,1,419.1
243,11,1,,,0,
244,4,1,,,1,448.6
245,13,3,,,0,
246,12,1,,,1,402.6
247,4,3,,,1,469.2
248,2,3,,,1,452.5
249,9,3,,,0,
250,4,3,,,0,
251,2,3,1.0,SE,1,530.5
252,3,1,1.0,RS,1,525.7
253,7,3,,,1,335.0
254,3,3,1.0,,1,753.1
255,7,1,,,0,
256,12,3,,,1,537.0
257,4,2,1.0,PB,1,597.3
258,7,3,,,1,442.5
259,3,1,1.0,,1,754.8
260,14,3,,,0,
261,4,3,,,0,
262,13,3,,,1,438.5
263,4,3,,,1,509.8
264,12,1,,,0,
265,7,1,,,1,690.2
266,3,1,,,1,432.0
267,4,3,,,1,410.1
268,12,2,,,0,
269,11,3,,,1,488.7
270,2,1,,,1,686.9
271,11,2,,,1,527.4
272,4,3,,,0,
273,12,2,,,0,
274,6,3,,,1,635.6
275,4,3,,,0,
276,9,1,,,1,423.5
277,14,3,,,0,
278,11,3,,,0,
279,11,3,,,0,
280,11,1,,,1,513.8
281,4,3,,,0,
282,5,3,1.0,,0,
283,3,1,,,1,564.2
284,3,1,,,1,588.9
285,2,3,1.0,,0,
286,2,2,1.0,SP,1,445.4
287,7,3,,,0,
288,2,1,1.0,,1,397.7
289,3,1,,,1,397.0
290,14,3,,,1,533.9
291,16,3,,,1,389.9
292,11,3,,,1,581.8
293,8,1,,,1,547.0
294,2,1,,,1,437.2
295,5,1,,,0,
296,14,3,,,0,
297,3,1,1.0,CE,1,678.6
298,3,1,1.0,,1,736.8
299,2,3,1.0,BA,1,580.6
300,5,1,,,0,
301,4,3,,RO,1,566.1
302,11,3,,,0,
303,4,3,,,1,424.4
304,2,3,,,1,360.8
305,6,3,,,0,
306,2,3,1.0,,1,560.3
307,11,3,,,0,
308,2,3,1.0,PI,1,454.1
309,5,3,,,1,444.3
310,8,3,,,1,415.5
311,5,3,,,1,393.1
312,4,3,,,1,392.2
313,4,1,1.0,ES,1,544.9
314,4,3,1.0,SP,1,569.5
315,2,3,,,0,
316,9,3,,,1,418.8
317,4,2,1.0,,0,
318,6,3,,,1,462.9
319,2,3,1.0,PE,1,442.3
320,3,3,,,1,399.4
321,3,2,1.0,,1,577.9
322,4,3,1.0,AP,0,
323,3,1,1.0,PA,1,685.9
324,7,3,,,0,
325,3,3,,,0,
326,11,1,,,1,588.5
327,3,3,,,1,561.1
328,2,3,1.0,GO,1,481.7
329,12,3,,,0,
330,9,1,,,0,
331,13,3,,,0,
332,6,1,,,0,
333,3,3,,,1,648.8
334,3,1,1.0,SE,1,584.9
335,7,1,,,1,531.3
336,4,1,,,1,525.4
337,3,2,,,1,759.9
338,8,3,,,0,
339,4,2,,ES,0,
340,11,3,,,0,
341,6,3,,,0,
342,9,1,,,1,475.3
343,1,3,,,1,543.2
344,2,3,1.0,,1,473.7
345,12,1,,,0,
346,3,3,,,0,
347,4,3,,,1,397.0
348,10,1,,,0,
349,10,3,,,1,685.5
350,11,1,,,1,609.4
351,11,2,,,1,403.6
352,4,3,,,0,
353,3,4,,,0,
354,5,2,,,1,443.2
355,2,1,1.0,,1,488.8
356,6,1,,,1,379.0
357,3,3,1.0,MA,1,332.9
358,14,3,,,0,
359,6,1,,,0,
360,2,3,1.0,,1,531.0
361,5,2,,,1,452.8
362,11,3,,,1,609.4
363,4,1,,,1,546.2
364,4,2,1.0,RJ,1,592.5
365,6,3,,,0,
366,13,3,,,0,
367,4,4,,,1,459.9
368,4,3,,,0,
369,3,3,1.0,,1,399.6
370,4,3,,,1,459.7
371,3,3,1.0,,0,
372,4,3,,,0,
373,14,3,,,1,418.0
374,5,2,,,1,558.6
375,14,3,,,1,392.7
376,8,3,,,1,635.9
377,4,3,,,0,
378,10,3,,,1,532.5
379,4,1,,,1,653.6
380,4,3,,,1,430.5
381,2,3,1.0,,1,439.0
382,10,1,,,1,796.6
383,4,3,,,1,648.0
384,3,3,1.0,SP,1,597.5
385,4,1,,,1,584.8
386,14,2,,,0,
387,3,3,1.0,CE,1,375.2
388,4,2,1.0,,1,619.3
389,4,3,,,0,
390,2,2,1.0,BA,1,567.0
391,5,3,,,1,580.7
392,7,2,,,0,
393,3,3,1.0,,0,
394,10,3,,,0,
395,11,3,,,0,
396,9,3,,,1,622.9
397,5,1,,,1,536.8
398,5,3,,,0,
399,3,4,1.0,BA,1,652.8
400,7,2,,,0,
401,9,2,,,1,693.9
402,11,3,,,0,
403,11,3,,,0,
404,7,3,,,0,
405,3,1,1.0,PE,1,495.2
406,4,2,1.0,MG,1,463.7
407,4,1,,,0,
408,11,2,,,0,
409,3,5,1.0,,1,507.7
410,8,1,,,0,
411,3,4,1.0,GO,0,
412,11,3,,,1,382.5
413,7,3,,,0,
414,4,3,,,1,476.5
