,TP_FAIXA_ETARIA,TP_COR_RACA,TP_ENSINO,SG_UF_ESC,TP_PRESENCA_MT,NU_NOTA_MT
0,14,1,,,0,
1,12,1,,,0,
2,6,1,,,1,363.2
3,2,3,1.0,CE,1,466.7
4,3,3,1.0,CE,1,338.3
5,6,3,,,0,
6,11,3,,,0,
7,11,3,,,0,
8,5,2,,,0,
9,11,1,,,1,680.2
10,8,3,,,1,736.3
11,3,3,1.0,PR,1,691.9
12,6,3,1.0,BA,0,
13,3,1,,,1,548.8
14,11,2,,,1,404.6
15,7,3,,,1,415.6
16,4,1,1.0,PA,1,437.0
17,11,1,,,1,448.2
18,11,1,,,1,719.7
19,11,1,,,0,
20,12,2,,,1,496.0
21,4,1,,,0,
22,9,1,,,1,816.8
23,5,1,,,0,
24,3,1,,,1,575.3
25,8,3,,,1,382.1
26,4,3,,,1,398.6
27,11,1,,,0,
28,5,3,,,1,592.4
29,13,3,,,1,618.0
30,4,1,,,0,
31,2,3,,,1,644.2
32,4,2,,,1,551.2
33,12,3,,,0,
34,9,2,,,0,
35,4,3,,,1,731.8
36,4,3,,,1,596.8
37,9,1,,,0,
38,5,3,,,0,
39,4,1,,,1,709.6
40,9,2,,,0,
41,3,1,1.0,SP,1,628.1
42,11,3,,,0,
43,5,1,,,0,
44,3,1,,,1,646.5
45,7,1,,,0,
46,2,1,1.0,RS,1,387.4
47,9,2,,,1,449.6
48,3,3,1.0,CE,1,645.1
49,11,1,,,1,634.4
50,6,3,,,1,360.2
51,4,3,,,1,616.4
52,11,1,,,1,648.2
53,12,2,,,0,
54,12,3,,,0,
55,3,1,,,1,484.9
56,12,2,,,0,
57,14,3,,,1,448.7
58,4,3,,,1,424.6
59,4,3,,,1,638.2
60,7,3,,,0,
61,7,1,,,1,587.9
62,2,1,1.0,,1,626.1
63,3,3,,,1,528.4
64,3,2,1.0,ES,1,697.1
65,4,1,,,1,646.8
66,3,1,1.0,BA,1,639.0
67,4,2,,,0,
68,12,3,,,0,
69,11,2,,,0,
70,9,1,,,1,464.9
71,7,3,,,1,579.6
72,4,3,,,1,470.6
73,11,3,,,0,
74,3,1,,,1,729.1
75,5,3,,,1,645.0
76,4,1,,,1,350.9
77,2,2,1.0,SP,1,0.0
78,11,1,,,1,517.8
79,2,3,1.0,CE,1,534.3
80,5,1,,,0,
81,3,3,,,1,422.4
82,3,3,,,1,343.5
83,4,2,1.0,,1,430.0
84,13,2,,,1,482.2
85,8,3,,,1,610.6
86,4,1,,,0,
87,2,3,1.0,AL,1,392.8
88,11,1,,,1,391.6
89,3,3,,,0,
90,5,3,,,1,435.4
91,6,3,,,0,
92,7,2,,,0,
93,3,3,,,1,687.0
94,13,2,,,0,
95,9,2,,,1,756.1
96,7,1,,,1,503.4
97,4,2,,,1,362.0
98,2,3,1.0,SP,1,706.5
99,2,1,1.0,RS,1,412.0
100,4,3,,,1,594.5
101,9,1,,,0,
102,4,1,,,0,
103,5,0,,,0,
104,9,3,,,1,485.3
105,8,1,,,0,
106,5,3,,,1,382.3
107,3,3,1.0,,1,677.6
108,4,3,,,1,432.2
109,6,3,,,1,742.1
110,11,3,,,0,
111,11,3,,,0,
112,4,1,,,0,
113,4,1,,,1,494.2
114,6,3,,,1,483.3
115,1,3,,,1,346.2
116,2,0,1.0,RJ,1,398.1
117,11,3,,,0,
118,13,1,,,0,
119,11,3,,,1,516.6
120,5,1,,,1,510.1
121,8,3,,,0,
122,3,3,1.0,AM,1,663.3
123,7,1,,,1,786.7
124,3,3,1.0,CE,0,
125,5,3,,,0,
126,3,3,1.0,BA,1,645.6
127,3,1,,,0,
128,4,3,,,1,346.5
129,8,3,,,0,
130,2,3,1.0,BA,1,629.4
131,3,1,1.0,,1,528.9
132,8,2,,,0,
133,3,3,1.0,,1,418.1
134,10,1,,,0,
135,2,3,1.0,MS,1,660.1
136,11,1,,,1,647.9
137,9,3,,,1,760.4
138,8,3,,,1,558.1
139,3,2,,,1,700.8
140,12,5,,,1,463.9
141,8,3,,,1,448.4
142,7,3,,,1,596.7
143,11,1,,,1,470.8
144,6,3,,,1,355.0
145,4,2,,,0,
146,11,3,,,1,666.0
147,12,1,,,0,
148,4,1,,,1,694.4
149,3,1,1.0,SC,1,540.7
150,2,2,1.0,,1,526.6
151,13,3,,,1,397.7
152,11,1,,,1,540.0
153,14,3,,,1,415.9
154,8,2,,,0,
155,4,2,,,1,406.3
156,4,3,,,1,723.0
157,4,2,,,0,
158,5,0,,,0,
159,7,3,,,0,
160,3,3,1.0,,1,493.5
161,5,1,,,1,619.5
162,5,3,,,1,661.1
163,3,1,1.0,SP,0,
164,6,1,,,1,633.3
165,4,3,1.0,CE,1,417.6
166,8,5,,,1,410.6
167,7,3,,,0,
168,8,2,,,1,618.6
169,3,1,1.0,PI,1,454.5
170,5,1,,,0,
171,4,2,,,1,420.7
172,12,3,,,0,
173,2,3,1.0,AM,1,349.0
174,6,3,,,0,
175,2,1,1.0,,1,428.2
176,5,3,,,0,
177,9,2,,,1,472.8
178,12,3,,,1,369.4
179,4,1,,,1,650.5
180,4,1,,,1,665.7
181,3,1,,,1,362.2
182,12,3,,,0,
183,2,3,1.0,RO,1,337.2
184,6,1,,,1,498.6
185,5,1,,,1,515.4
186,3,3,1.0,PA,1,612.2
187,11,3,,,1,490.8
188,5,3,1.0,AL,1,525.8
189,11,3,,,1,439.7
190,15,1,,,0,
191,5,1,,,1,617.1
192,3,3,,,1,608.0
193,3,1,,,1,366.4
194,3,2,1.0,GO,0,
195,4,4,1.0,,0,
196,5,2,,,1,561.9
197,2,1,1.0,,1,454.4
198,11,3,,,1,349.0
199,2,3,1.0,CE,1,544.4
200,11,2,,,0,
201,6,2,,,1,486.1
202,12,3,,,0,
203,12,1,,,0,
204,5,3,,,1,476.1
205,3,1,,,1,433.8
206,11,3,,,0,
207,11,0,,,0,
208,3,2,1.0,,1,354.9
209,4,1,,,0,
210,7,1,,,1,477.1
211,8,1,,,0,
212,4,1,,,1,731.1
213,7,2,,,0,
214,3,1,,,1,579.1
215,2,3,1.0,SP,1,682.6
216,3,1,1.0,SP,1,476.9
217,3,3,1.0,RJ,1,365.3
218,3,3,1.0,DF,1,583.1
219,4,1,1.0,,1,831.8
220,11,3,,,0,
221,15,3,,,1,429.4
222,7,3,,,1,461.0
223,4,1,,,0,
224,17,1,,,1,487.0
225,7,2,,,0,
226,12,2,,,0,
227,6,3,,,1,604.6
228,11,3,,,0,
229,12,3,,,1,716.6
230,8,2,,,0,
231,2,3,1.0,ES,1,615.7
232,8,2,,,1,653.3
233,12,2,,,1,337.0
234,3,3,,,0,
235,11,3,,,0,
236,14,2,,,0,
237,3,1,1.0,RS,1,689.8
238,4,2,,,0,
239,5,3,,,1,446.3
240,6,3,,,1,450.5
241,5,3,,,1,543.1
242,3,1,1.0,RS,1,655.8
243,2,1,1.0,,1,665.0
244,9,3,,,0,
245,5,2,,,0,
246,12,3,,,0,
247,9,3,,,0,
248,5,3,,,0,
249,3,1,1.0,MA,1,726.4
250,1,3,,,1,690.4
251,9,3,,,0,
252,4,3,,,0,
253,3,3,1.0,DF,1,571.7
254,4,1,,,1,499.6
255,2,2,1.0,,1,644.1
256,2,3,1.0,DF,1,358.0
257,5,1,,,1,766.1
258,9,1,,,0,
259,11,2,,,0,
260,11,3,,,1,402.6
261,1,1,,,0,
262,6,2,,,1,445.7
263,3,2,1.0,BA,0,
264,10,3,,,0,
265,8,3,,,0,
266,6,2,,,1,373.1
267,6,3,,,0,
268,6,1,,,0,
269,3,3,1.0,DF,1,466.2
270,4,1,,,1,702.0
271,11,1,,,1,484.2
272,3,3,1.0,,1,580.2
273,3,1,,,1,613.2
274,7,3,,,1,482.0
275,4,2,,,1,589.5
276,5,3,,,1,494.2
277,3,4,1.0,CE,1,493.4
278,8,1,,,1,734.6
279,4,1,,,1,639.0
