,TP_FAIXA_ETARIA,TP_COR_RACA,TP_ENSINO,SG_UF_ESC,TP_PRESENCA_MT,NU_NOTA_MT
173,14,3,3.0,,0.0,
174,11,1,1.0,,0.0,
175,3,2,1.0,,1.0,489.4
176,2,3,1.0,SP,0.0,
177,11,3,,,1.0,765.9
178,4,2,1.0,,1.0,679.2
179,7,3,1.0,,1.0,590.1
180,12,3,1.0,,0.0,
181,10,3,1.0,,0.0,
182,2,1,1.0,PA,1.0,530.2
183,13,3,,,1.0,483.8
184,6,1,,,1.0,643.6
185,2,1,1.0,SP,1.0,522.1
186,11,3,,,1.0,553.0
187,2,1,1.0,SP,1.0,498.5
188,3,1,1.0,SP,1.0,729.8
189,8,1,3.0,,1.0,514.7
190,4,3,1.0,,1.0,519.2
191,3,1,1.0,MG,1.0,479.7
192,2,3,1.0,RJ,0.0,
193,8,3,,,1.0,484.5
194,4,2,1.0,,0.0,
195,2,3,1.0,PA,0.0,
196,3,1,1.0,BA,1.0,430.9
197,6,3,,,1.0,481.7
198,9,3,1.0,,1.0,556.0
199,13,1,1.0,,1.0,464.7
200,5,3,,,1.0,569.9
201,4,2,1.0,AM,1.0,393.2
202,4,1,1.0,,1.0,468.3
203,11,1,1.0,,1.0,588.1
204,4,2,1.0,,1.0,446.5
205,4,1,,,1.0,750.6
206,4,3,3.0,,1.0,454.5
207,4,3,1.0,,1.0,590.7
208,4,1,,,1.0,751.5
209,10,0,3.0,,1.0,607.9
210,4,2,1.0,,1.0,733.7
211,5,2,1.0,BA,1.0,560.7
212,7,3,3.0,,1.0,709.0
213,5,3,1.0,,1.0,429.7
214,10,3,1.0,,0.0,
215,5,3,1.0,,1.0,696.4
216,7,3,1.0,,1.0,528.7
217,3,3,1.0,SP,0.0,
218,3,3,1.0,,1.0,519.2
219,3,3,,,1.0,754.5
220,1,1,,,1.0,692.6
221,6,2,1.0,,0.0,
222,7,3,1.0,,1.0,659.4
223,12,4,1.0,,0.0,
224,2,3,1.0,MG,0.0,
225,3,1,1.0,MS,1.0,447.5
226,17,1,,,0.0,
227,2,2,1.0,BA,1.0,549.1
228,8,3,,,1.0,514.2
229,7,3,1.0,,0.0,
230,5,3,1.0,,1.0,532.1
231,6,1,1.0,,1.0,564.2
232,6,1,1.0,,1.0,421.7
233,3,3,1.0,,1.0,502.3
234,7,2,1.0,,0.0,
235,10,3,1.0,,1.0,647.8
236,1,1,,,1.0,409.5
237,10,0,1.0,,1.0,566.5
238,11,2,1.0,,0.0,
239,9,3,1.0,,1.0,696.5
240,2,3,1.0,SP,1.0,378.7
241,11,3,1.0,,1.0,510.1
242,3,3,,,1.0,481.3
