,TP_FAIXA_ETARIA,TP_COR_RACA,TP_ENSINO,SG_UF_ESC,TP_PRESENCA_MT,NU_NOTA_MT
0,5,1,,,0,
1,12,1,,,1,461.5
2,13,1,,,0,
3,3,3,1.0,CE,1,659.5
4,2,3,1.0,CE,1,582.6
5,10,3,,,0,
6,9,3,,,0,
7,4,1,,,0,
8,8,3,,,1,493.4
9,4,3,1.0,,1,413.3
10,5,3,,,1,796.7
11,2,1,1.0,,1,514.9
12,11,3,,,1,509.7
13,5,2,,,0,
14,5,2,1.0,BA,0,
15,4,3,,,1,445.8
16,7,1,,,1,553.1
17,8,3,,,1,608.5
18,2,3,1.0,,1,537.2
19,11,3,,,1,629.5
20,13,3,,,1,439.1
21,3,3,1.0,,1,446.2
22,5,3,,,1,590.9
23,3,3,1.0,,0,
24,1,3,,,1,468.3
25,7,1,,,1,583.0
26,2,1,1.0,,1,411.5
27,10,2,,,1,386.6
28,7,3,,,1,528.7
29,3,3,,,1,694.7
30,3,3,1.0,,1,427.0
31,3,3,,,1,535.7
32,9,2,,,1,579.6
33,3,1,1.0,BA,1,423.0
34,5,1,,,1,505.0
35,5,1,,,1,366.8
36,3,3,,,1,656.1
37,3,1,,,1,492.9
38,3,3,,,0,
39,6,3,,,1,379.5
40,3,3,,,1,473.9
41,2,1,1.0,,1,619.7
42,3,3,,,1,675.6
43,1,1,1.0,,1,586.8
44,11,1,,,0,
45,4,3,1.0,ES,1,570.2
46,3,3,,,1,556.9
47,4,1,,,1,599.3
48,11,1,,,0,
49,7,3,,,0,
50,4,3,,,1,404.0
51,3,3,1.0,ES,1,579.4
52,5,3,,,0,
53,11,1,,,1,410.5
54,4,2,,,0,
55,5,2,1.0,BA,1,469.6
56,4,1,,,1,771.0
57,3,3,,,1,506.3
58,1,3,,,1,667.1
59,3,3,1.0,ES,1,726.1
60,8,3,,,0,
61,5,4,,,1,469.4
62,3,2,1.0,,1,450.4
63,3,1,1.0,SP,1,724.7
64,11,2,,,0,
65,2,2,1.0,,1,517.4
66,3,3,1.0,,1,487.8
67,6,3,,,1,503.0
68,14,1,,,1,439.3
69,14,3,,,0,
70,3,1,,,0,
71,3,1,1.0,SP,1,440.3
72,3,3,,,0,
73,2,3,1.0,,1,472.7
74,10,3,,,0,
75,2,1,1.0,SP,1,710.3
76,2,1,1.0,PE,1,644.1
77,5,3,1.0,,1,432.2
78,5,3,,CE,1,422.3
79,4,3,,,1,770.3
80,11,1,,,1,623.3
81,3,1,,,1,644.3
82,7,1,,,1,750.0
83,3,1,,,0,
84,4,3,,,0,
85,4,2,,,1,386.4
86,3,2,1.0,,1,389.0
87,9,3,1.0,,0,
88,5,2,,,1,402.6
89,5,1,,,1,485.5
90,5,3,,,0,
91,3,1,1.0,,0,
92,11,3,1.0,CE,0,
93,3,1,1.0,,1,450.3
94,4,2,,,1,463.9
95,12,3,,,0,
96,3,3,1.0,,1,479.3
97,4,1,,,1,474.9
98,5,3,,,1,619.9
99,2,3,,,1,423.3
100,10,1,,,0,
101,6,1,,,1,729.2
102,1,3,1.0,PA,1,657.6
103,3,1,1.0,RS,1,441.7
104,3,3,,,1,613.7
105,6,3,,,1,848.9
106,4,3,,,0,
107,3,2,1.0,BA,1,513.7
108,3,1,1.0,,1,722.1
109,6,3,,,1,753.6
110,3,3,1.0,RJ,0,
111,5,3,,,1,522.1
112,4,3,,,1,442.1
113,3,1,1.0,,1,394.3
114,10,4,,,1,571.0
115,1,1,,,1,677.8
116,11,3,,,0,
117,7,3,,,0,
118,5,5,,,0,
119,12,3,,,1,399.4
120,10,1,,,0,
121,6,3,,,1,453.1
122,13,3,,,0,
123,5,3,,,1,487.0
124,3,1,,,1,491.4
125,4,2,1.0,,1,492.9
126,2,1,,,1,470.2
127,3,3,,,1,549.1
128,13,1,,,0,
129,3,3,1.0,BA,1,524.5
130,3,3,1.0,,0,
131,3,3,1.0,,0,
132,4,3,,,1,489.1
133,8,3,,,0,
134,11,2,,,1,412.1
135,6,3,,,1,573.8
136,3,3,1.0,,1,458.3
137,2,2,1.0,,1,419.5
138,13,3,,,1,523.2
139,6,3,,,0,
140,6,3,,,1,511.0
141,5,3,,,0,
142,6,3,,,1,600.9
143,8,1,,,1,744.8
144,2,3,1.0,,1,536.6
145,3,3,1.0,BA,1,435.1
146,3,3,1.0,GO,1,482.9
147,11,3,,,0,
148,3,3,1.0,PA,1,497.5
149,3,3,1.0,DF,1,503.3
150,7,3,,,0,
151,5,1,,,0,
152,4,3,1.0,,1,443.1
153,3,1,,,1,571.4
154,6,2,,,1,466.3
